City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Date
373,Khandbari,NP,27.3747,87.2039,293.49,293.49,89,100,1.96,2022-10-11 15:13:14
374,Riberalta,BO,-10.9833,-66.1,307.5,307.5,44,63,1.18,2022-10-11 15:13:14
375,Kunya,NG,12.2233,8.5325,308.12,308.12,18,6,4.96,2022-10-11 15:13:15
376,Ambilobe,MG,-13.2,49.05,297.66,297.66,57,0,1.97,2022-10-11 15:13:15
377,Stornoway,GB,58.2093,-6.3865,285.33,284.84,94,75,3.09,2022-10-11 15:13:16
378,Muisne,EC,0.6,-80.0333,297.14,297.14,82,100,3.85,2022-10-11 15:13:17
379,Marsh Harbour,BS,26.5412,-77.0636,301.51,301.51,73,23,4.21,2022-10-11 15:13:17
380,Shushtar,IR,32.0455,48.8567,306.59,306.59,12,0,4.76,2022-10-11 15:13:18
381,Kathu,TH,7.9178,98.3332,302.42,299.05,99,81,4.15,2022-10-11 15:13:18
382,Shannon,IE,52.7039,-8.8642,288.15,286.56,63,75,8.75,2022-10-11 15:13:19
383,Loubomo,CG,-4.1997,12.6739,301.85,301.85,59,96,1.11,2022-10-11 15:13:19
384,Mogadishu,SO,2.0371,45.3438,298.47,298.47,82,9,8.33,2022-10-11 15:08:41
385,Stoughton,US,42.1251,-71.1023,290.28,285.6,65,0,3.6,2022-10-11 15:13:20
386,Saint-Leu,RE,-21.15,55.2833,295.63,292.36,75,57,4.06,2022-10-11 15:13:21
387,Kipini,KE,-2.5257,40.5262,299.31,299.31,76,1,7.28,2022-10-11 15:13:21
388,Akdagmadeni,TR,39.6603,35.8836,286.44,286.44,44,31,1.95,2022-10-11 15:13:22
389,Skjervoy,NO,70.0311,20.9714,284.15,284.15,76,14,1.78,2022-10-11 15:13:22
390,Calvinia,ZA,-31.4707,19.776,299.8,299.8,20,100,4.56,2022-10-11 15:13:23
391,Murgab,TM,37.4966,61.9714,294.17,294.17,14,0,3.64,2022-10-11 15:13:23
392,Karaton,ID,-6.3424,106.1045,296.79,296.79,89,100,0.48,2022-10-11 15:13:24
393,Puta,AZ,40.2967,49.6603,291.16,291.16,73,30,12.66,2022-10-11 15:13:25
